"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000045834",1007.40259494416,-0.921661493564528,0.176000969887204,-5.23668417370203,1.63487095406844e-07,0.000696718390156042
"ENSDARG00000039393",1622.96135363165,-0.834876609898211,0.211803655199983,-3.94174788489806,8.08899777399987e-05,0.0269869188235071
"ENSDARG00000030614",989.189822409247,0.53052293965467,0.133821163915701,3.96441731734502,7.3575442471475e-05,0.0263712803638938
"ENSDARG00000104890",54.4988434780503,-1.6649312608819,0.453408136009016,-3.67203657953061,0.000240625229523242,0.0496537030095039
"ENSDARG00000099257",289.852197457435,0.654101819493649,0.175123909682028,3.73508003950631,0.000187655493764426,0.0443793365822882
"ENSDARG00000086222",392.776150546146,0.675190413753284,0.163795861576485,4.12214574443324,3.75359583612461e-05,0.0179816489759785
"ENSDARG00000039730",26275.8353510417,-0.632348539819491,0.165996359410839,-3.80941209833667,0.000139297618146035,0.0366576917922812
"ENSDARG00000090428",44288.730679919,-0.681646180110563,0.163627281128227,-4.16584676718053,3.10199014852329e-05,0.0160984672069057
"ENSDARG00000024503",1086.8516624433,-0.881635246912706,0.215352521690325,-4.09391652344099,4.24147068835375e-05,0.0183191705370286
"ENSDARG00000088625",130.878562528535,-1.1760101431261,0.289940234922204,-4.05604328575386,4.99110137376208e-05,0.0198401589289355
"ENSDARG00000007276",27672.7915326158,-0.731121934793653,0.170281557013364,-4.29360611693417,1.75794232689247e-05,0.0121643098123452
"ENSDARG00000030616",185.272125958725,-0.771999684745893,0.182564284535199,-4.22864574366981,2.35102196379848e-05,0.0141431217268667
"ENSDARG00000088711",895.81253004923,-0.541555649761217,0.145133733299587,-3.73142506190019,0.000190399650396794,0.0444654583545414
"ENSDARG00000007654",576.766933200602,0.601581979381099,0.162424876644744,3.70375518706338,0.000212431276365209,0.0478647216684661
"ENSDARG00000097011",339.128369464488,6.66796559436122,1.66867144163103,3.99597274095114,6.44291477727471e-05,0.0245659136293517
"ENSDARG00000079078",225.790818925644,6.28937658191789,1.54731283455535,4.06470911470547,4.80924036424524e-05,0.0195328342880856
"ENSDARG00000101671",15.4748182351249,-7.44790149557485,1.32700911698981,-5.61254734441442,1.99369636997409e-08,0.00018624114640113
"ENSDARG00000027419",742.531074585108,0.612777356507308,0.154724359534549,3.96044526117738,7.48101407314869e-05,0.0263712803638938
"ENSDARG00000088717",131.03537459684,-1.56758552009029,0.342346392383944,-4.57894563799649,4.67325624288863e-06,0.00582069642572588
"ENSDARG00000100504",272.131679846025,-1.63260870999301,0.33936328609513,-4.81079944969463,1.50327797100907e-06,0.00258881647845725
"ENSDARG00000059651",88.8132278572699,-1.25020242486744,0.281161915053782,-4.44655679852052,8.72576035920768e-06,0.00776301813290843
"ENSDARG00000059775",382.17964222613,0.670043489026844,0.15566662811914,4.30434896112751,1.67477503799963e-05,0.0121643098123452
"ENSDARG00000012610",586.977790601745,1.08503000881595,0.239755580853763,4.52556726709841,6.02337182320761e-06,0.00703341598581173
"ENSDARG00000018478",2930.45415066924,-0.936033991027049,0.236617604401739,-3.95589327934288,7.62491966829858e-05,0.0263808100301523
"ENSDARG00000068745",598.051803962225,0.771799194607059,0.20209760853129,3.81894273868938,0.000134024866187715,0.0366576917922812
"ENSDARG00000079727",1422.68574486862,-0.938155384030394,0.199257715591701,-4.70825122753474,2.49851049119692e-06,0.0035907439620794
"ENSDARG00000060350",7040.76273200685,-0.951169522670913,0.254113499327304,-3.74308930926092,0.000181771586095688,0.0435389556798172
"ENSDARG00000053358",1255.81378589165,0.506539148607534,0.123849152195485,4.08996864030207,4.31431517223817e-05,0.0183191705370286
"ENSDARG00000074118",101.726426171583,-0.976528595489768,0.235519701737352,-4.14627136620094,3.3793329127035e-05,0.016774298388057
"ENSDARG00000105201",209.272085014713,0.949578107765478,0.197722826839956,4.80257197887477,1.56640483563892e-06,0.00258881647845725
"ENSDARG00000101479",97.7317459147317,-1.23233584211632,0.275054326799627,-4.48033614469936,7.45255745116905e-06,0.00773534060334396
"ENSDARG00000040432",1059.87893036641,-0.604641591413214,0.135532164732996,-4.46124056680112,8.14865527226842e-06,0.00776301813290843
"ENSDARG00000075827",208.781115465451,-1.035496215014,0.280480100498466,-3.69187052191484,0.000222610792566873,0.0483523340320468
"ENSDARG00000078878",55.2169957129036,-1.34985056246133,0.314332221820217,-4.29434359177273,1.75210950347655e-05,0.0121643098123452
"ENSDARG00000100166",205.498745745316,0.694355450972569,0.189159579723767,3.67073902356173,0.000241850183260978,0.0496537030095039
"ENSDARG00000018263",2056.14115391169,-0.789477990959729,0.200788683390811,-3.93188489324921,8.4282421675145e-05,0.0276254120027497
"ENSDARG00000051970",194.31775073652,0.816336470533204,0.214704479724643,3.80213990681588,0.000143451676781313,0.037223717740351
"ENSDARG00000030376",116.212547192494,1.02400387654549,0.23920848815979,4.28080075428369,1.86222030995164e-05,0.0124256650181523
"ENSDARG00000042993",48663.8630398254,-0.759414196136872,0.181465163852105,-4.18490348238849,2.85287291779062e-05,0.0152286356351663
"ENSDARG00000014975",22.8115084152113,-2.7234540204791,0.723127361533697,-3.76621625090062,0.000165740250546563,0.0412870013461525
"ENSDARG00000040123",89.3781283514761,0.972700369737429,0.263121006966594,3.69677959563648,0.000218351755563563,0.0482637410308286
"ENSDARG00000059945",641.086810830051,0.766331797774562,0.157418607742459,4.86811444189813,1.12668081274566e-06,0.00258881647845725
"ENSDARG00000042513",47.5284249874292,-2.2577935293823,0.589310913643023,-3.83124336765629,0.000127497315248217,0.0360913991027642
"ENSDARG00000020123",493.004315114061,-0.648795042622393,0.153673371750619,-4.22190933426812,2.42241553958001e-05,0.0141431217268667
"ENSDARG00000029587",232.069255980233,-0.798510485419702,0.213207296104473,-3.74523058079788,0.000180228168160987,0.0435389556798172
"ENSDARG00000053097",754.47964178232,-0.556922810388478,0.149747205872705,-3.71908649074828,0.000199944584308644,0.046118082328869
"ENSDARG00000079997",39.9961936857709,1.40152423295648,0.36074901302571,3.88503968784691,0.000102313173165183,0.0303415399086527
"ENSDARG00000033832",4501.05898793509,-0.625143350556634,0.153702901331075,-4.06721893433929,4.75775398169846e-05,0.0195328342880856
