Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	Control_met	Hypoxia_met
Chr20:28942696-28942696	20	28942696	28942696		null					Not found	0	6.25	0.0
Chr20:28942733-28942733	20	28942733	28942733		null					Not found	0	0.0	0.0
Chr20:28942792-28942792	20	28942792	28942792		null					Not found	0	0.0	20.0
Chr20:28943645-28943645	20	28943645	28943645		null					Not found	0	30.0	28.571428298950195
Chr20:28943689-28943689	20	28943689	28943689		null					Not found	0	47.619049072265625	41.17647171020508
Chr20:28943719-28943719	20	28943719	28943719		null					Not found	0	90.90908813476562	17.647058486938477
Chr20:28943738-28943738	20	28943738	28943738		null					Not found	0	85.18518829345703	64.70587921142578
Chr20:28943763-28943763	20	28943763	28943763		null					Not found	0	0.0	0.0
Chr20:28943788-28943788	20	28943788	28943788		null					Not found	0	87.5	93.33333587646484
Chr20:28943792-28943792	20	28943792	28943792		null					Not found	0	100.0	100.0
Chr20:28943901-28943901	20	28943901	28943901		null					Not found	0	100.0	100.0
Chr20:28944050-28944050	20	28944050	28944050		null					Not found	0	100.0	80.0
Chr20:28944101-28944101	20	28944101	28944101		null					Not found	0	100.0	100.0
Chr20:28944106-28944106	20	28944106	28944106		null					Not found	0	100.0	100.0
Chr20:28944107-28944107	20	28944107	28944107		null					Not found	0	100.0	100.0
Chr20:28944109-28944109	20	28944109	28944109		null					Not found	0	100.0	100.0
Chr20:28944110-28944110	20	28944110	28944110		null					Not found	0	100.0	83.33333587646484
Chr20:28944225-28944225	20	28944225	28944225		null					Not found	0	71.42857360839844	100.0
Chr20:28944284-28944284	20	28944284	28944284		null					Not found	0	66.66666412353516	80.0
Chr20:28945316-28945316	20	28945316	28945316		null					Not found	0	100.0	100.0
Chr20:28945318-28945318	20	28945318	28945318		null					Not found	0	85.71428680419922	100.0
Chr20:28945399-28945399	20	28945399	28945399		null					Not found	0	100.0	85.71428680419922
Chr20:28945475-28945475	20	28945475	28945475		null					Not found	0	100.0	100.0
Chr20:28945766-28945766	20	28945766	28945766		null					Not found	0	100.0	100.0
Chr20:28945958-28945958	20	28945958	28945958		null					Not found	0	100.0	75.0
Chr20:28946438-28946438	20	28946438	28946438		null					Not found	0	100.0	100.0
Chr20:28947007-28947007	20	28947007	28947007		null					Not found	0	100.0	90.0
Chr20:28947012-28947012	20	28947012	28947012		null					Not found	0	85.71428680419922	90.90908813476562
Chr20:28947063-28947063	20	28947063	28947063		null					Not found	0	100.0	100.0
Chr20:28949679-28949679	20	28949679	28949679		null					Not found	0	100.0	83.33333587646484
Chr20:28950838-28950838	20	28950838	28950838		null					Not found	0	100.0	100.0
Chr20:28950883-28950883	20	28950883	28950883		null					Not found	0	100.0	100.0
Chr20:28950951-28950951	20	28950951	28950951		null					Not found	0	90.90908813476562	87.5
Chr20:28950959-28950959	20	28950959	28950959		null					Not found	0	100.0	100.0
Chr20:28950966-28950966	20	28950966	28950966		null					Not found	0	90.0	88.88888549804688
Chr20:28951020-28951020	20	28951020	28951020		null					Not found	0	88.88888549804688	100.0
Chr20:28951101-28951101	20	28951101	28951101		null					Not found	0	100.0	100.0
Chr20:28951291-28951291	20	28951291	28951291		null					Not found	0	0.0	0.0
Chr20:28951313-28951313	20	28951313	28951313		null					Not found	0	100.0	100.0
Chr20:28951521-28951521	20	28951521	28951521		null					Not found	0	100.0	100.0
Chr20:28951779-28951779	20	28951779	28951779		null					Not found	0	100.0	100.0
Chr20:28951833-28951833	20	28951833	28951833		null					Not found	0	100.0	100.0
Chr20:28952376-28952376	20	28952376	28952376		null					Not found	0	100.0	100.0
Chr20:28952799-28952799	20	28952799	28952799		null					Not found	0	90.0	100.0
Chr20:28952817-28952817	20	28952817	28952817		null					Not found	0	100.0	100.0
Chr20:28952834-28952834	20	28952834	28952834		null					Not found	0	100.0	90.90908813476562
Chr20:28953658-28953658	20	28953658	28953658		null					Not found	0	0.0	0.0
Chr20:28955713-28955713	20	28955713	28955713		null					Not found	0	0.0	0.0
Chr20:28955728-28955728	20	28955728	28955728		null					Not found	0	0.0	0.0
Chr20:28955739-28955739	20	28955739	28955739		null					Not found	0	0.0	0.0
Chr20:28955865-28955865	20	28955865	28955865		null					Not found	0	0.0	0.0
Chr20:28955927-28955927	20	28955927	28955927		null					Not found	0	0.0	0.0
Chr20:28955929-28955929	20	28955929	28955929		null					Not found	0	0.0	0.0
Chr20:28955995-28955995	20	28955995	28955995		null					Not found	0	0.0	0.0
Chr20:28956006-28956006	20	28956006	28956006		null					Not found	0	0.0	0.0
Chr20:28956033-28956033	20	28956033	28956033		null					Not found	0	0.0	0.0
Chr20:28956035-28956035	20	28956035	28956035		null					Not found	0	0.0	0.0
Chr20:28956076-28956076	20	28956076	28956076		null					Not found	0	0.0	0.0
Chr20:28956095-28956095	20	28956095	28956095		null					Not found	0	0.0	0.0
Chr20:28956109-28956109	20	28956109	28956109		null					Not found	0	0.0	0.0
Chr20:28956601-28956601	20	28956601	28956601		null					Not found	0	0.0	0.0
Chr20:28956636-28956636	20	28956636	28956636		null					Not found	0	0.0	0.0
Chr20:28956647-28956647	20	28956647	28956647		null					Not found	0	0.0	0.0
