Probe	Chromosome	Start	End	Probe Strand	Feature	ID	log2FoldChange	List	Description	Feature Strand	Type	Feature Orientation	Distance	Control_met	Hypoxia_met	Control_calls	Hypoxia_calls	Control_RNA_seq	Hypoxia_RNA_seq
stx1b_upstream	19	5254599	5254799	-	stx1b	ENSDARG00000000503	0.860377519	1	syntaxin 1B [Source:ZFIN;Acc:ZDB-GENE-000330- 4]	-	gene	Name match	0	0.338983059	0	295	333	0.431872219	0.867158413
cry-dash_upstream	24	20208374	20208574	-	cry-dash	ENSDARG00000002396	-0.737186432	1	cryptochrome DASH [Source:ZFIN;Acc:ZDB-GENE- 040617-2]	-	gene	Name match	0	0.641025662	1.190476179	156	252	2.939819336	1.956001759
dglucy_upstream	17	38778801	38779001	-	dglucy	ENSDARG00000005179	-1.024794268	1	D-glutamate cyclase [Source:ZFIN;Acc:ZDB- GENE-070725-6]	-	gene	Name match	0	4.166666508	0	48	53	0.434679419	0.23838158
ela3l_upstream	5	26118755	26118955	-	ela3l	ENSDARG00000007276	-0.731121935	1	elastase 3 like [Source:ZFIN;Acc:ZDB-GENE- 060710-2]	-	gene	Name match	0	100	100	9	5	280.8560486	186.4980469
nsfa_upstream	3	34800941	34801141	-	nsfa	ENSDARG00000007654	0.601581979	1	N-ethylmaleimide-sensitive factor a [Source:ZFIN;Acc:ZDB-GENE-030616-37]	-	gene	Name match	0	2.298850536	0	87	94	1.107863069	1.834627748
pla2g1b_upstream	8	39724038	39724238	+	pla2g1b	ENSDARG00000009153	-0.77272349	1	"phospholipase A2, group IB (pancreas) [Source:ZFIN;Acc:ZDB-GENE-070117-1]"	+	gene	Name match	0	95	95.45454407	20	22	6.774642944	4.510424137
zgc:92137_upstream	17	42988256	42988456	-	zgc:92137	ENSDARG00000009443	-0.621954227	1	zgc:92137 [Source:ZFIN;Acc:ZDB-GENE-040801- 179]	-	gene	Name match	0	100	88.8888855	10	9	206.7626495	147.7817841
saga_upstream	2	5504994	5505194	-	saga	ENSDARG00000012610	1.085030009	1	S-antigen; retina and pineal gland (arrestin) a [Source:ZFIN;Acc:ZDB-GENE-040426-1538]	-	gene	Name match	0	97.22222137	95.23809814	72	63	0.890773118	2.104897499
irge1_upstream	16	25977963	25978163	-	irge1	ENSDARG00000014975	-2.72345402	1	"immunity-related GTPase family, e1 [Source:ZFIN;Acc:ZDB-GENE-051209-1]"	-	gene	Name match	0	100	100	2	3	0.877383947	0.133066341
dnase1l4.1_upstream	22	5682394	5682594	-	dnase1l4.1	ENSDARG00000015123	-0.727327583	1	"deoxyribonuclease 1 like 4, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040808-35]"	-	gene	Name match	0	96	77.27272797	25	22	2.470248938	1.838640571
gad2_upstream	24	6158833	6159033	-	gad2	ENSDARG00000015537	0.886970984	1	glutamate decarboxylase 2 [Source:ZFIN;Acc:ZDB-GENE-030909-9]	-	gene	Name match	0	0	0.45045045	198	222	0.69446677	1.429986596
nova2_upstream	15	28685525	28685725	+	nova2	ENSDARG00000017673	0.671384509	1	neuro-oncological ventral antigen 2 [Source:ZFIN;Acc:ZDB-GENE-080211-1]	+	gene	Name match	0	0	0	2	0	0.470443338	0.833992243
pdia2_upstream	1	9954389	9954589	+	pdia2	ENSDARG00000018263	-0.789477991	1	"protein disulfide isomerase family A, member 2 [Source:ZFIN;Acc:ZDB-GENE-040426-705]"	+	gene	Name match	0	91.94631195	96.62162018	149	148	13.14280605	8.360293388
agxtb_upstream	2	22688551	22688751	-	agxtb	ENSDARG00000018478	-0.936033991	1	alanine-glyoxylate aminotransferase b [Source:ZFIN;Acc:ZDB-GENE-010302-3]	-	gene	Name match	0	0.403225809	0.579710126	248	345	19.47242928	11.158494
coq8a_upstream	20	38457984	38458184	+	coq8a	ENSDARG00000020123	-0.648795043	1	coenzyme Q8A [Source:ZFIN;Acc:ZDB-GENE- 040718-487]	+	gene	Name match	0	1.190476179	0	84	75	1.292384744	0.95573163
rac3b_upstream	12	3022782	3022982	+	rac3b	ENSDARG00000020795	0.583776186	1	Rac family small GTPase 3b [Source:ZFIN;Acc:ZDB-GENE-080220-21]	+	gene	Name match	0	1.145038128	0.589970529	262	339	1.18029058	1.965964794
clic4_upstream	17	25444223	25444423	+	clic4	ENSDARG00000022995	0.652667549	1	chloride intracellular channel 4 [Source:ZFIN;Acc:ZDB-GENE-030326-3]	+	gene	Name match	0	0	0	108	153	1.134074092	1.9720186
c6ast3_upstream	7	38644460	38644660	-	c6ast3	ENSDARG00000024503	-0.881635247	1	six-cysteine containing astacin protease 3 [Source:ZFIN;Acc:ZDB-GENE-050320-99]	-	gene	Name match	0	92.30769348	100	13	7	34.16371536	20.36759758
ppp3cb_upstream	14	7888648	7888848	-	ppp3cb	ENSDARG00000025106	0.619971087	1	"protein phosphatase 3, catalytic subunit, beta isozyme [Source:ZFIN;Acc:ZDB-GENE-050417-406]"	-	gene	Name match	0	0.416666657	1.533742309	240	326	0.17026718	0.288397372
gad1b_upstream	6	3827651	3827851	+	gad1b	ENSDARG00000027419	0.612777357	1	glutamate decarboxylase 1b [Source:ZFIN;Acc:ZDB-GENE-030909-3]	+	gene	Name match	0	0	0	39	47	0.972856998	1.658784389
msra_upstream	20	38910114	38910314	+	msra	ENSDARG00000029587	-0.798510485	1	methionine sulfoxide reductase A [Source:ZFIN;Acc:ZDB-GENE-041014-344]	+	gene	Name match	0	0	0	157	174	0.128189787	0.083334245
grin2bb_upstream	1	45553502	45553702	-	grin2bb	ENSDARG00000030376	1.024003877	1	"glutamate receptor, ionotropic, N-methyl D- aspartate 2B, genome duplicate b [Source:ZFIN;Acc:ZDB-GENE- 061207-27]"	-	gene	Name match	0	98.79518127	95.83333588	83	72	0.026588567	0.057720885
syt1a_upstream	4	21129652	21129852	+	syt1a	ENSDARG00000030614	0.53052294	1	synaptotagmin Ia [Source:ZFIN;Acc:ZDB-GENE- 040718-165]	+	gene	Name match	0	100	100	6	7	0.259725451	0.416615218
nfe2l1a_upstream	3	24093044	24093244	-	nfe2l1a	ENSDARG00000030616	-0.771999685	1	"nuclear factor, erythroid 2-like 1a [Source:ZFIN;Acc:ZDB-GENE-040630-5]"	-	gene	Name match	0	0	0	67	59	0.676979303	0.432389617
cpa1_upstream	25	18453916	18454116	-	cpa1	ENSDARG00000030915	-0.769078697	1	carboxypeptidase A1 (pancreatic) [Source:ZFIN;Acc:ZDB-GENE-050522-438]	-	gene	Name match	0	100	85	18	20	78.99217987	50.7118721
ampd1_upstream	8	11111958	11112158	-	ampd1	ENSDARG00000033832	-0.625143351	1	adenosine monophosphate deaminase 1 (isoform M) [Source:ZFIN;Acc:ZDB-GENE-040426-1906]	-	gene	Name match	0	95.45454407	98.02955627	154	203	10.27957726	7.353880405
abrab_upstream	19	46777863	46778063	-	abrab	ENSDARG00000033854	-0.847319022	1	actin binding Rho activating protein b [Source:ZFIN;Acc:ZDB-GENE-040822-7]	-	gene	Name match	0	100	100	1	2	1.886015058	1.160220027
cyt1l_upstream	19	5358355	5358555	-	cyt1l	ENSDARG00000036832	-2.309127267	1	"type I cytokeratin, enveloping layer, like [Source:ZFIN;Acc:ZDB-GENE-061026-4]"	-	gene	Name match	0	96.66666412	96.90721893	60	97	69.69303131	30.08701134
si:ch211-240l19.5_upstream	4	8043864	8044064	-	si:ch211-240l19.5	ENSDARG00000039393	-0.83487661	1	si:ch211-240l19.5 [Source:ZFIN;Acc:ZDB-GENE- 041210-327]	-	gene	Name match	0	93.75	100	16	17	104.9522705	65.27616119
slc6a1b_upstream	11	1024383	1024583	-	slc6a1b	ENSDARG00000039647	0.607944755	1	"solute carrier family 6 (neurotransmitter transporter), member 1b [Source:ZFIN;Acc:ZDB-GENE-041114- 57]"	-	gene	Name match	0	0	1.041666627	96	96	1.351260781	2.289113045
zgc:112160_upstream	7	35066357	35066557	-	zgc:112160	ENSDARG00000039730	-0.63234854	1	zgc:112160 [Source:ZFIN;Acc:ZDB-GENE-050417- 229]	-	gene	Name match	0	95	90.90908813	20	22	436.7323914	310.1686096
zfpm2a_upstream	16	44127287	44127487	-	zfpm2a	ENSDARG00000040123	0.97270037	1	"zinc finger protein, FOG family member 2a [Source:ZFIN;Acc:ZDB-GENE-060130-4]"	-	gene	Name match	0	0.568181813	0.923076928	352	325	0.012370396	0.026415577
klf2b_upstream	2	55664995	55665195	+	klf2b	ENSDARG00000040432	-0.604641591	1	Kruppel-like factor 2b [Source:ZFIN;Acc:ZDB- GENE-011109-2]	+	gene	Name match	0	0.187969923	0.725952804	532	551	9.291825294	6.755548954
ces2_upstream	18	17415509	17415709	-	ces2	ENSDARG00000041569	-0.805620387	1	"carboxylesterase 2 (intestine, liver) [Source:ZFIN;Acc:ZDB-GENE-061013-99]"	-	gene	Name match	0	100	100	31	37	36.76075363	23.01727867
