Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	Control_met	Hypoxia_met
Chr3:55098636-55098636	3	55098636	55098636		null					Not found	0	0.0	0.0
Chr3:55098675-55098675	3	55098675	55098675		null					Not found	0	10.0	0.0
Chr3:55098681-55098681	3	55098681	55098681		null					Not found	0	5.55555534362793	0.0
Chr3:55098696-55098696	3	55098696	55098696		null					Not found	0	0.0	0.0
Chr3:55100476-55100476	3	55100476	55100476		null					Not found	0	0.0	0.0
Chr3:55100488-55100488	3	55100488	55100488		null					Not found	0	0.0	0.0
Chr3:55100509-55100509	3	55100509	55100509		null					Not found	0	0.0	0.0
Chr3:55100510-55100510	3	55100510	55100510		null					Not found	0	0.0	0.0
Chr3:55100512-55100512	3	55100512	55100512		null					Not found	0	0.0	0.0
Chr3:55100513-55100513	3	55100513	55100513		null					Not found	0	14.285714149475098	0.0
Chr3:55100515-55100515	3	55100515	55100515		null					Not found	0	0.0	0.0
Chr3:55100516-55100516	3	55100516	55100516		null					Not found	0	11.11111068725586	14.285714149475098
Chr3:55100537-55100537	3	55100537	55100537		null					Not found	0	0.0	12.5
Chr3:55100558-55100558	3	55100558	55100558		null					Not found	0	0.0	0.0
Chr3:55100567-55100567	3	55100567	55100567		null					Not found	0	0.0	0.0
Chr3:55100589-55100589	3	55100589	55100589		null					Not found	0	0.0	0.0
Chr3:55100599-55100599	3	55100599	55100599		null					Not found	0	0.0	0.0
Chr3:55103549-55103549	3	55103549	55103549		null					Not found	0	0.0	0.0
Chr3:55103587-55103587	3	55103587	55103587		null					Not found	0	0.0	0.0
Chr3:55103588-55103588	3	55103588	55103588		null					Not found	0	0.0	0.0
Chr3:55103647-55103647	3	55103647	55103647		null					Not found	0	0.0	0.0
Chr3:55103662-55103662	3	55103662	55103662		null					Not found	0	5.882352828979492	0.0
Chr3:55103668-55103668	3	55103668	55103668		null					Not found	0	0.0	0.0
Chr3:55104140-55104140	3	55104140	55104140		null					Not found	0	0.0	0.0
Chr3:55104178-55104178	3	55104178	55104178		null					Not found	0	0.0	0.0
Chr3:55104182-55104182	3	55104182	55104182		null					Not found	0	0.0	0.0
Chr3:55104209-55104209	3	55104209	55104209		null					Not found	0	0.0	9.090909004211426
Chr3:55105128-55105128	3	55105128	55105128		null					Not found	0	0.0	0.0
Chr3:55105179-55105179	3	55105179	55105179		null					Not found	0	0.0	0.0
Chr3:55105184-55105184	3	55105184	55105184		null					Not found	0	0.0	0.0
Chr3:55105501-55105501	3	55105501	55105501		null					Not found	0	0.0	0.0
Chr3:55105513-55105513	3	55105513	55105513		null					Not found	0	0.0	0.0
Chr3:55105534-55105534	3	55105534	55105534		null					Not found	0	0.0	0.0
Chr3:55105537-55105537	3	55105537	55105537		null					Not found	0	0.0	0.0
Chr3:55105540-55105540	3	55105540	55105540		null					Not found	0	0.0	0.0
